City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Aykhal,RU,66.0,111.5,56.61,49,100,8.77
120,Borba,BR,-4.3878,-59.5939,75.87,84,100,2.57
121,Mattru,SL,7.6244,-11.8332,73.45,98,97,1.54
122,Mahebourg,MU,-20.4081,57.7,73.69,73,40,5.75
123,Fasa,IR,28.9383,53.6482,61.84,17,0,4.61
124,Charlestown,AU,-32.95,151.6667,65.82,87,100,3.0
125,Tual,ID,-5.6667,132.75,83.44,76,20,15.86
126,Abu Samrah,SY,35.3029,37.1841,59.38,76,22,24.83
127,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,5.75
128,Yarada,IN,17.65,83.2667,88.12,70,20,2.3
129,Lamphun,TH,18.25,98.9167,86.43,60,19,4.18
130,Hilo,US,19.7297,-155.09,81.28,81,100,11.5
131,Vondrozo,MG,-22.8167,47.2833,57.6,97,2,2.86
132,Barrow,US,71.2906,-156.7887,24.82,86,100,11.5
133,Namibe,AO,-15.1961,12.1522,68.29,66,3,3.33
134,San Felipe,VE,10.3399,-68.7425,72.21,94,30,4.65
135,Kruisfontein,ZA,-34.0033,24.7314,54.19,75,89,4.03
136,Sobolevo,RU,54.4299,31.8996,38.25,80,12,4.32
137,Luderitz,NA,-26.6481,15.1594,59.97,57,16,6.49
138,Lida,BY,53.8833,25.2997,43.5,84,100,5.95
139,Klaksvik,FO,62.2266,-6.589,47.32,85,53,9.28
140,Provideniya,RU,64.3833,-173.3,53.71,58,0,11.18
141,Menongue,AO,-14.6585,17.691,46.99,49,0,3.44
142,Kudryashovskiy,RU,55.0974,82.7742,57.25,44,0,8.95
143,Lima,PE,-12.0432,-77.0282,62.91,82,100,4.61
144,Lasa,IT,46.6166,10.7002,59.88,73,92,2.37
145,Teguldet,RU,57.3064,88.1667,67.82,51,91,7.96
146,Khatanga,RU,71.9667,102.5,34.74,69,100,11.52
147,Vuktyl,RU,63.8567,57.3094,35.29,97,100,3.94
148,Meulaboh,ID,4.1363,96.1285,82.76,74,100,2.62
149,Ryotsu,JP,38.0833,138.4333,63.54,73,59,4.34
150,Saurimo,AO,-9.6608,20.3916,60.58,55,63,5.66
151,Puerto Escondido,MX,15.85,-97.0667,80.87,74,4,8.03
152,Vila,PT,42.0304,-8.1588,49.08,94,90,2.57
153,Senekal,ZA,-28.3197,27.6208,45.84,86,2,3.87
154,Selenginsk,RU,52.0064,106.8647,61.21,48,56,10.83
155,San Rafael,AR,-34.6177,-68.3301,56.61,27,55,9.78
156,Rocha,UY,-34.4833,-54.3333,47.91,90,64,5.88
157,Yuli,NG,9.6989,10.2744,80.31,69,100,6.51
158,Chibombo,ZM,-14.6569,28.0706,51.31,52,94,5.21
159,Saskylakh,RU,71.9167,114.0833,33.22,97,100,10.2
160,Torbay,CA,47.6666,-52.7314,54.37,59,100,17.27
161,Beringovskiy,RU,63.05,179.3167,42.69,71,89,10.4
162,Lebu,CL,-37.6167,-73.65,48.7,79,100,1.9
163,Vestmannaeyjar,IS,63.4427,-20.2734,48.56,84,2,8.52
164,Constitucion,CL,-35.3333,-72.4167,51.46,93,100,10.74
165,Vardo,NO,70.3705,31.1107,37.38,87,100,16.11
166,Lamu,KE,-2.2717,40.902,79.02,83,100,14.5
167,Willowmore,ZA,-33.2926,23.4895,51.04,62,82,4.29
168,Vagay,RU,57.9375,69.0217,46.72,75,74,11.92
169,Pingliang,CN,35.5392,106.6861,73.89,46,83,9.31
170,Bandundu,CD,-3.3167,17.3667,72.75,95,100,3.44
171,Tuatapere,NZ,-46.1333,167.6833,52.74,69,42,11.7
172,Wanning,CN,18.8003,110.3967,85.71,71,100,6.4
173,Ucluelet,CA,48.9329,-125.5528,51.1,86,100,1.01
174,Quesnel,CA,52.9999,-122.5029,70.3,17,0,4.61
175,Sesori,SV,13.7167,-88.3667,74.28,94,100,2.17
176,Buala,SB,-8.145,159.5921,85.48,68,37,4.23
177,Narsaq,GL,60.9167,-46.05,33.03,92,98,6.98
178,Valparaiso,CL,-33.0393,-71.6273,58.48,63,0,3.44
179,Mandera,KE,3.9366,41.867,78.53,68,89,12.48
180,Raudeberg,NO,61.9875,5.1352,52.95,80,100,9.84
181,Pirot,RS,43.1531,22.5861,56.98,89,26,1.92
182,Delijan,IR,33.9905,50.6838,72.14,15,0,5.55
183,Khandbari,NP,27.3747,87.2039,77.23,51,56,3.42
184,Kysyl-Syr,RU,63.8986,122.7617,60.21,34,41,6.02
185,Adrar,MR,20.5022,-10.0711,86.76,18,80,7.36
186,Bethel,US,41.3712,-73.414,71.91,90,20,3.44
187,Chum Phae,TH,16.5443,102.0992,79.2,78,100,2.06
188,Lavrentiya,RU,65.5833,-171.0,40.21,79,99,2.82
189,Tazovskiy,RU,67.4667,78.7,42.3,82,69,20.11
190,Ancud,CL,-41.8697,-73.8203,48.45,76,73,18.5
191,Leningradskiy,RU,69.3833,178.4167,38.21,89,34,1.48
192,Foxton,NZ,-40.4667,175.3,60.75,64,15,1.86
193,Zatoka,UA,46.0725,30.4654,53.4,75,66,15.32
194,Bendigo,AU,-36.7667,144.2833,61.65,60,0,5.59
195,Montrose,US,38.4166,-108.2673,58.41,24,100,3.27
196,Abalak,RU,58.1286,68.5944,46.18,72,83,12.68
197,Aklavik,CA,68.2191,-135.0107,35.44,61,99,11.95
198,Micheweni,TZ,-4.9667,39.8333,77.22,80,96,9.89
199,Praia,CV,14.9215,-23.5087,70.34,73,40,6.91
200,Rio Grande,BR,-32.035,-52.0986,57.09,84,26,8.41
