City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
273,Itarema,BR,75.06,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
275,Srednekolymsk,RU,59.52,67.45,153.6833,
276,Kralendijk,BQ,80.58,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
277,Sakakah,SA,68.16,29.9697,40.2064,Fakhamat Al Orjoana Apartment
278,Peace River,CA,54.43,56.2501,-117.286,BCMInns - Peace River
279,Ocos,GT,78.98,14.5094,-92.1933,Auto Hotel El Soñador
280,Codrington,AU,62.47,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
281,Bilibino,RU,52.43,68.0546,166.4372,Gostinitsa Severyanka
283,Xuddur,SO,72.57,4.1213,43.8894,Banjanay Hotel
285,Isangel,VU,80.22,-19.55,169.2667,Tanna Lodge
286,Iquitos,PE,78.84,-3.7481,-73.2472,Cortez Malaga Techy Caroly
287,Tautira,PF,79.21,-17.7333,-149.15,Pension Oaoa
288,Ode,NG,69.62,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
289,Cockburn Town,TC,79.54,21.4612,-71.1419,Osprey Beach Hotel
290,Oswego,US,52.92,43.4501,-76.1497,S & E Mobile Home Park
291,Nena,PH,85.37,11.7658,125.4178,C-Side
292,Ajdabiya,LY,60.19,30.7554,20.2263,Almadina Hotel
295,Salinas,US,64.49,36.6777,-121.6555,Laurel Inn & Conference Center
296,Zaysan,KZ,66.25,47.4667,84.8667,Ерлан үй
297,Cabo San Lucas,MX,75.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
298,Puerto Suarez,BO,65.19,-18.95,-57.8,Hotel casa real
299,Grimshaw,CA,52.41,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
300,Fuenlabrada,ES,65.61,40.2842,-3.7942,Hotel Avenida de España
301,Fiditi,NG,71.47,7.7136,3.9172,"FBC Guest House, Fiditi"
302,Ballina,AU,63.79,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
303,Taiyuan,CN,71.46,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
304,Lompoc,US,60.94,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
305,Antofagasta,CL,56.48,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
306,Killybegs,IE,50.56,54.6333,-8.45,Tara Hotel
